Buildfile: /home/cristobal/Documentos/tfm/gvgai-803dc6b1aa0044548c455875926dc25390f11e3b/build.xml

makedirectories:

compile:
     [echo] Compiling All sources ...
    [javac] Compiling 37 source files to /home/cristobal/Documentos/tfm/gvgai-803dc6b1aa0044548c455875926dc25390f11e3b/classes
    [javac] Note: Some input files use unchecked or unsafe operations.
    [javac] Note: Recompile with -Xlint:unchecked for details.

run:
     [echo] Executing Test.java ...
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:68.0, timesteps:730
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:733
     [java] Results in game examples/gridphysics/enemycitadel.txt, 0.0 | 0.0
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1000
     [java] Results in game examples/gridphysics/escape.txt, 0.0 | 0.0
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Results in game examples/gridphysics/factorymanager.txt, 1.0 | 1.0
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:13.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:13.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:12.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:10.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:13.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:5.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:2000
     [java] Results in game examples/gridphysics/firecaster.txt, 0.0 | 12.2
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-14.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-24.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-26.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-26.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-12.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-12.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-26.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-24.0, timesteps:1065
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-26.0, timesteps:1500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-26.0, timesteps:1500
     [java] Results in game examples/gridphysics/fireman.txt, 0.0 | -21.6
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-3.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-3.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-1.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-1.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-2.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-2.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-1.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:-2.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Results in game examples/gridphysics/firestorms.txt, 0.0 | -1.5
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:50.0, timesteps:1900
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:30.0, timesteps:1899
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:50.0, timesteps:1900
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:50.0, timesteps:1900
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:20.0, timesteps:1295
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:30.0, timesteps:1900
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:60.0, timesteps:1900
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:50.0, timesteps:1900
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:50.0, timesteps:1900
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:10.0, timesteps:590
     [java] Results in game examples/gridphysics/freeway.txt, 0.7 | 40.0
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:797
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1821
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1999
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1406
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:799
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1009
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1558
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1023
     [java] Results in game examples/gridphysics/frogs.txt, 0.0 | 0.0
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:4.0, timesteps:352
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:2.0, timesteps:51
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:2.0, timesteps:44
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:1.0, timesteps:82
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:4.0, timesteps:231
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:4.0, timesteps:172
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:2.0, timesteps:132
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:2.0, timesteps:92
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:2.0, timesteps:65
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:2.0, timesteps:38
     [java] Results in game examples/gridphysics/gymkhana.txt, 0.1 | 2.5
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:510
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1260
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1560
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:1860
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:0.0, timesteps:2000
     [java] Results in game examples/gridphysics/hungrybirds.txt, 0.0 | 0.0
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:16.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:14.0, timesteps:500
     [java] Results in game examples/gridphysics/iceandfire.txt, 0.0 | 14.2
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:18.0, timesteps:1457
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:26.0, timesteps:521
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:34.0, timesteps:549
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:25.0, timesteps:1230
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:20.0, timesteps:829
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:30.0, timesteps:486
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:38.0, timesteps:520
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:29.0, timesteps:280
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:26.0, timesteps:929
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:10.0, timesteps:357
     [java] Results in game examples/gridphysics/infection.txt, 1.0 | 25.6
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:10.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:10.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:20.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:10.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:10.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:10.0, timesteps:1000
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:1.0, timesteps:1000
     [java] Results in game examples/gridphysics/intersection.txt, 1.0 | 7.4
